0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,0.060548,0.11823,0.16936,0.21524,0.26071,0.30209,0.3465,0.38968,0.43611,0.48256,0.53158,0.58182,0.63268,0.68597,0.74068,0.79674,0.85415,0.91286,0.97256,1.0335,1.0957,1.1589,1.223,1.288,1.3538,1.4201,1.4871,1.5545,1.6223,1.6903,1.7586,1.827,1.8954,1.9637,2.0319,2.0997,2.1672,2.2341,2.3004,2.3657,2.4299,2.4929,2.5542,2.6136,2.6707,2.7249,2.7758,2.8227,2.8649,2.9014,2.9313,2.9533,2.966,2.9679,2.9571,2.9314,2.8887,2.8261,2.7409,2.6299,2.4898,2.3172,2.1085,1.8605,1.5702,1.235,0.85338,0.42453,-0.050741,-0.57143,-1.1383,-1.7717,-2.8863,-4.5764,-4.8762,-3.3243,-1.7438,-1.0066,-0.68347,-0.51027,-0.40329,-0.33076,-0.27831,-0.23855,-0.2073,-0.18205,-0.16118,-0.1436,-0.12858,-0.11557,-0.10418,-0.09411,-0.085144,-0.077101,-0.069844,-0.06326,-0.057259,-0.051768,-0.046724,-0.042078,-0.037784,-0.033807,-0.030116,-0.026682,-0.023482,-0.020495,-0.017704,-0.015092,-0.012645,-0.010351,-0.0081974,-0.0061745,-0.0042731,-0.0024847,-0.00080163,0.00078303,0.0022757,0.0036823,0.0050081,0.0062583,0.0074374,0.0085497,0.0095991,0.010589,0.011524,0.012406,0.013239,0.014026,0.014768,0.015469,0.01613,0.016755,0.017345,0.017902,0.018428,0.018925,0.019393,0.019836,0.020254,0.020648,0.02102,0.021371,0.021703,0.022016,0.022311,0.02259,0.022852,0.0231,0.023334,0.023555,0.023763,0.023959,0.024144,0.024319,0.024484,0.024639,0.024785,0.024923,0.025053,0.025175,0.025291,0.025399,0.025502,0.025598,0.025689,0.025775,0.025856,0.025932,0.026003,0.026071,0.026134,0.026194,0.02625,0.026303,0.026353,0.0264,0.026444,0.026485,0.026524,0.026561,0.026596,0.026628,0.026659,0.026688,0.026715,0.02674,0.026764,0.026787,0.026808,0.026828,0.026847,0.026865,0.026881,0.026897,0.026911,0.026925,0.026938,0.02695,0.026962,0.026972
0,0.54734,1.0475,1.4794,1.8412,2.148,2.408,2.6228,2.8152,2.9947,3.1672,3.3342,3.5045,3.6779,3.8495,4.0305,4.2174,4.4089,4.6052,4.8064,5.0124,5.2227,5.436,5.6527,5.8834,6.1108,6.3494,6.5854,6.8314,7.0806,7.3338,7.5897,7.8459,8.1096,8.3736,8.6454,8.9268,9.2225,9.9912,12.005,13.504,14.438,15.128,15.697,16.194,16.641,17.051,17.432,17.787,18.118,18.427,18.712,18.972,19.206,19.411,19.583,19.719,19.813,19.86,19.855,19.79,19.657,19.449,19.156,18.771,18.282,17.682,16.962,16.114,15.132,14.01,12.74,11.291,9.2314,6.4145,4.084,2.8843,2.2692,1.887,1.6198,1.4195,1.2623,1.135,1.0295,0.94061,0.8646,0.79891,0.74164,0.69132,0.64685,0.60733,0.57205,0.54043,0.51199,0.48633,0.46312,0.44208,0.42296,0.40555,0.38968,0.37518,0.36192,0.34977,0.33864,0.32842,0.31904,0.31041,0.30246,0.29515,0.28841,0.2822,0.27647,0.27118,0.2663,0.26179,0.25762,0.25377,0.2502,0.2469,0.24385,0.24103,0.23841,0.23599,0.23375,0.23167,0.22975,0.22796,0.22631,0.22478,0.22336,0.22204,0.22082,0.21969,0.21863,0.21766,0.21676,0.21592,0.21514,0.21442,0.21375,0.21312,0.21255,0.21201,0.21151,0.21105,0.21062,0.21023,0.20986,0.20952,0.2092,0.2089,0.20863,0.20838,0.20814,0.20792,0.20772,0.20753,0.20735,0.20719,0.20704,0.2069,0.20677,0.20665,0.20653,0.20643,0.20633,0.20624,0.20616,0.20608,0.20601,0.20594,0.20588,0.20582,0.20577,0.20572,0.20567,0.20563,0.20559,0.20556,0.20552,0.20549,0.20546,0.20543,0.20541,0.20538,0.20536,0.20534,0.20532,0.2053,0.20529,0.20527,0.20526,0.20525,0.20523,0.20522,0.20521,0.2052,0.20519,0.20519,0.20518,0.20517
0,0.60127,1.1333,1.5991,1.9858,2.299,2.5607,2.7852,2.9906,3.1753,3.3519,3.5222,3.6892,3.859,4.0325,4.21,4.3918,4.5806,4.776,4.9779,5.1861,5.4004,5.6206,5.8467,6.0806,6.3195,6.5633,6.8117,7.0641,7.3196,7.5821,7.8483,8.1165,8.3857,8.6625,8.9373,9.2182,9.4977,9.7802,10.064,10.347,10.63,10.908,11.191,11.473,11.748,12.027,12.312,12.64,13.95,15.714,16.787,17.49,18.009,18.415,18.737,18.99,19.179,19.304,19.364,19.353,19.268,19.1,18.843,18.488,18.028,17.452,16.754,15.926,14.962,13.856,12.6,11.165,9.117,6.311,3.9906,2.8001,2.1934,1.8189,1.5589,1.3651,1.214,1.0923,0.99205,0.90791,0.83633,0.77476,0.7213,0.67453,0.63334,0.59688,0.56443,0.53545,0.50947,0.4861,0.46503,0.44597,0.4287,0.41302,0.39875,0.38576,0.37389,0.36306,0.35315,0.34407,0.33574,0.32811,0.3211,0.31465,0.30873,0.30327,0.29825,0.29362,0.28936,0.28543,0.2818,0.27845,0.27536,0.27251,0.26987,0.26744,0.26519,0.2631,0.26118,0.2594,0.25775,0.25623,0.25482,0.25352,0.25231,0.25119,0.25016,0.2492,0.24831,0.24749,0.24673,0.24602,0.24537,0.24477,0.24421,0.24369,0.24321,0.24276,0.24235,0.24197,0.24162,0.24129,0.24099,0.2407,0.24044,0.2402,0.23998,0.23977,0.23958,0.2394,0.23924,0.23908,0.23894,0.23881,0.23869,0.23858,0.23847,0.23837,0.23828,0.2382,0.23813,0.23805,0.23799,0.23793,0.23787,0.23782,0.23777,0.23772,0.23768,0.23764,0.23761,0.23758,0.23754,0.23752,0.23749,0.23747,0.23744,0.23742,0.2374,0.23738,0.23737,0.23735,0.23734,0.23733,0.23731,0.2373,0.23729,0.23728,0.23727,0.23726,0.23726,0.23725,0.23724,0.23724,0.23723,0.23723
0,-0.098796,-0.19102,-0.28226,-0.37952,-0.4759,-0.57156,-0.66927,-0.76766,-0.86853,-0.97026,-1.0739,-1.1791,-1.2858,-1.3936,-1.5028,-1.6134,-1.7253,-1.8383,-1.9524,-2.0675,-2.1836,-2.3006,-2.4184,-2.5371,-2.6566,-2.7768,-2.8977,-3.0193,-3.1416,-3.2645,-3.3881,-3.5122,-3.637,-3.7623,-3.8881,-4.0145,-4.1413,-4.2686,-4.3963,-4.5244,-4.6527,-4.8059,-5.0467,-5.2432,-5.4142,-5.5694,-5.7142,-5.8517,-5.9834,-6.1101,-6.2317,-6.348,-6.4578,-6.5601,-6.6533,-6.7353,-6.8038,-6.8562,-6.8894,-6.9003,-6.8855,-6.8416,-6.7657,-6.6553,-6.5091,-6.3282,-6.1175,-5.8923,-5.6391,-5.3289,-5.0078,-4.7135,-4.8869,-5.6836,-5.8613,-4.5211,-2.5407,-1.3302,-0.81943,-0.5644,-0.41384,-0.31481,-0.24475,-0.19254,-0.1521,-0.11981,-0.093417,-0.071417,-0.052783,-0.036787,-0.0229,-0.010726,3.7338e-05,0.0096214,0.01821,0.025949,0.032957,0.039331,0.045149,0.050479,0.055376,0.059888,0.064054,0.06791,0.071486,0.074808,0.077899,0.080778,0.083464,0.085973,0.088318,0.090512,0.092567,0.094493,0.0963,0.097995,0.099586,0.10108,0.10249,0.10381,0.10505,0.10622,0.10732,0.10835,0.10932,0.11024,0.11111,0.11192,0.11269,0.11341,0.11409,0.11473,0.11533,0.1159,0.11644,0.11694,0.11742,0.11786,0.11829,0.11869,0.11906,0.11941,0.11975,0.12006,0.12036,0.12063,0.1209,0.12114,0.12138,0.1216,0.1218,0.122,0.12218,0.12235,0.12251,0.12267,0.12281,0.12295,0.12307,0.12319,0.12331,0.12341,0.12351,0.12361,0.1237,0.12378,0.12386,0.12393,0.124,0.12407,0.12413,0.12419,0.12424,0.12429,0.12434,0.12438,0.12443,0.12447,0.1245,0.12454,0.12457,0.1246,0.12463,0.12466,0.12469,0.12471,0.12473,0.12476,0.12478,0.1248,0.12481,0.12483,0.12485,0.12486,0.12487,0.12489,0.1249,0.12491,0.12492,0.12493
0,-0.0061384,-0.010482,-0.013839,-0.015988,-0.014582,-0.0093083,-0.0070271,0.00072239,0.0061454,0.016208,0.028163,0.041484,0.055796,0.07245,0.090632,0.11027,0.13133,0.15371,0.17716,0.2021,0.22837,0.25586,0.2845,0.31419,0.34488,0.37648,0.40893,0.44216,0.4761,0.51067,0.54577,0.58135,0.6173,0.65354,0.68993,0.72642,0.76287,0.79915,0.83508,0.87047,0.90511,0.93872,0.97102,1.0016,1.0301,1.0561,1.0788,1.0976,1.1116,1.12,1.1215,1.1148,1.0984,1.0703,1.0286,0.97086,0.8943,0.79591,0.67227,0.5197,0.33419,0.11156,-0.15247,-0.46216,-0.82148,-1.2339,-1.7023,-2.2281,-2.8124,-3.4549,-4.1574,-4.9456,-6.2454,-8.1985,-9.5505,-9.6365,-8.7582,-6.6135,-4.2601,-2.5188,-1.6826,-1.2634,-1.0158,-0.85269,-0.73734,-0.65165,-0.58565,-0.53342,-0.49119,-0.45645,-0.42747,-0.403,-0.38215,-0.36422,-0.34869,-0.33516,-0.32331,-0.31287,-0.30365,-0.29546,-0.28817,-0.28166,-0.27583,-0.2706,-0.26589,-0.26165,-0.25782,-0.25435,-0.25122,-0.24837,-0.24579,-0.24344,-0.24131,-0.23937,-0.23759,-0.23598,-0.23451,-0.23316,-0.23193,-0.23081,-0.22978,-0.22884,-0.22798,-0.2272,-0.22647,-0.22581,-0.22521,-0.22466,-0.22415,-0.22368,-0.22325,-0.22286,-0.2225,-0.22217,-0.22187,-0.2216,-0.22134,-0.22111,-0.22089,-0.2207,-0.22052,-0.22035,-0.2202,-0.22006,-0.21993,-0.21982,-0.21971,-0.21961,-0.21952,-0.21944,-0.21936,-0.21929,-0.21923,-0.21917,-0.21912,-0.21907,-0.21902,-0.21898,-0.21894,-0.21891,-0.21888,-0.21885,-0.21882,-0.2188,-0.21878,-0.21876,-0.21874,-0.21872,-0.2187,-0.21869,-0.21868,-0.21866,-0.21865,-0.21864,-0.21863,-0.21863,-0.21862,-0.21861,-0.21861,-0.2186,-0.21859,-0.21859,-0.21858,-0.21858,-0.21858,-0.21857,-0.21857,-0.21857,-0.21857,-0.21856,-0.21856,-0.21856,-0.21856,-0.21856,-0.21855,-0.21855,-0.21855,-0.21855,-0.21855,-0.21855
0,-0.21908,-0.42501,-0.62919,-0.83606,-1.0399,-1.2428,-1.4486,-1.6557,-1.8659,-2.0773,-2.2914,-2.5077,-2.726,-2.9459,-3.1676,-3.391,-3.6158,-3.8419,-4.0691,-4.2973,-4.5264,-4.7562,-4.9868,-5.2179,-5.4495,-5.6815,-5.9138,-6.1463,-6.3791,-6.6119,-6.8447,-7.0773,-7.3372,-7.69,-7.9872,-8.2551,-8.5063,-8.7472,-8.9813,-9.2103,-9.4349,-9.6554,-9.8713,-10.082,-10.287,-10.485,-10.675,-10.855,-11.023,-11.177,-11.315,-11.433,-11.529,-11.598,-11.636,-11.64,-11.603,-11.522,-11.392,-11.208,-10.966,-10.662,-10.297,-9.869,-9.3813,-8.8385,-8.2485,-7.6226,-6.9824,-6.3167,-5.6469,-5.0206,-4.8804,-5.3768,-5.1679,-3.4503,-1.7165,-0.92376,-0.58915,-0.41412,-0.30818,-0.23778,-0.18791,-0.15093,-0.12255,-0.10018,-0.082162,-0.067405,-0.055144,-0.044835,-0.036079,-0.028579,-0.022106,-0.016484,-0.011574,-0.0072637,-0.0034642,-0.00010177,0.002884,0.0055433,0.0079184,0.010045,0.011953,0.013668,0.015213,0.016606,0.017865,0.019004,0.020035,0.02097,0.021818,0.022589,0.023289,0.023926,0.024506,0.025034,0.025515,0.025954,0.026354,0.026719,0.027052,0.027357,0.027634,0.027888,0.02812,0.028331,0.028525,0.028701,0.028863,0.029011,0.029146,0.029269,0.029382,0.029485,0.029579,0.029665,0.029744,0.029816,0.029881,0.029941,0.029996,0.030046,0.030092,0.030134,0.030172,0.030207,0.030238,0.030267,0.030294,0.030318,0.03034,0.03036,0.030378,0.030395,0.03041,0.030423,0.030436,0.030447,0.030458,0.030467,0.030475,0.030483,0.03049,0.030497,0.030502,0.030508,0.030512,0.030517,0.03052,0.030524,0.030527,0.03053,0.030532,0.030535,0.030537,0.030539,0.03054,0.030542,0.030543,0.030544,0.030545,0.030546,0.030547,0.030548,0.030549,0.030549,0.03055,0.03055,0.030551,0.030551,0.030551,0.030552,0.030552,0.030552,0.030552,0.030552,0.030552,0.030552,0.030553,0.030553
0,-0.18986,-0.37034,-0.55186,-0.7339,-0.91799,-1.1005,-1.2877,-1.4759,-1.6684,-1.8624,-2.0594,-2.259,-2.4609,-2.6647,-2.8707,-3.0785,-3.2879,-3.4989,-3.7111,-3.9245,-4.1389,-4.3542,-4.5704,-4.7872,-5.0048,-5.2229,-5.4416,-5.6607,-5.8804,-6.1004,-6.3209,-6.5418,-6.763,-7.0111,-7.35,-7.6369,-7.8965,-8.1413,-8.3779,-8.6099,-8.8395,-9.0681,-9.2966,-9.5255,-9.7553,-9.9864,-10.219,-10.454,-10.691,-10.932,-11.176,-11.424,-11.677,-11.937,-12.203,-12.478,-12.762,-13.058,-13.366,-13.688,-14.026,-14.382,-14.758,-15.154,-15.572,-16.012,-16.474,-16.957,-17.46,-17.979,-18.517,-19.098,-20.151,-21.819,-22.858,-22.628,-21.678,-20.374,-18.837,-17.096,-15.202,-13.178,-11.036,-8.6894,-5.9545,-3.5958,-2.3241,-1.7036,-1.3386,-1.0946,-0.91843,-0.78463,-0.67931,-0.59422,-0.52407,-0.4653,-0.41542,-0.37263,-0.3356,-0.3033,-0.27495,-0.24992,-0.2277,-0.20791,-0.1902,-0.1743,-0.15999,-0.14707,-0.13537,-0.12476,-0.11512,-0.10634,-0.098334,-0.091021,-0.084332,-0.078207,-0.072591,-0.067438,-0.062704,-0.058351,-0.054346,-0.050658,-0.04726,-0.044127,-0.041236,-0.038568,-0.036104,-0.033827,-0.031723,-0.029778,-0.027978,-0.026313,-0.024772,-0.023345,-0.022024,-0.0208,-0.019666,-0.018615,-0.017641,-0.016738,-0.015901,-0.015125,-0.014405,-0.013738,-0.013118,-0.012543,-0.01201,-0.011515,-0.011056,-0.01063,-0.010234,-0.0098669,-0.0095259,-0.0092094,-0.0089156,-0.0086427,-0.0083894,-0.0081541,-0.0079357,-0.0077328,-0.0075444,-0.0073694,-0.0072069,-0.007056,-0.0069158,-0.0067856,-0.0066646,-0.0065523,-0.006448,-0.006351,-0.006261,-0.0061773,-0.0060996,-0.0060275,-0.0059604,-0.0058981,-0.0058402,-0.0057865,-0.0057365,-0.0056901,-0.005647,-0.005607,-0.0055698,-0.0055352,-0.0055031,-0.0054733,-0.0054455,-0.0054198,-0.0053959,-0.0053736,-0.005353,-0.0053338,-0.005316,-0.0052994,-0.005284,-0.0052697,-0.0052564,-0.0052441,-0.0052326,-0.005222
0,0.2342,0.45282,0.64485,0.82368,0.98236,1.1352,1.2864,1.4371,1.5808,1.723,1.8671,2.0133,2.1574,2.3074,2.4609,2.6166,2.7714,2.9322,3.0981,3.2686,3.4435,3.6228,3.8062,3.9936,4.1847,4.3794,4.5774,4.7782,4.9816,5.187,5.3937,5.61,5.83,6.0519,6.2752,6.4991,6.7228,6.945,7.1667,7.3987,7.6294,7.8567,8.0778,8.3071,8.5333,8.7485,8.9694,9.1828,9.3953,9.6022,9.8009,9.988,10.167,10.337,10.497,10.647,10.83,12.169,14.778,16.541,17.262,17.525,17.538,17.37,17.046,16.575,15.96,15.198,14.288,13.227,12.009,10.606,8.5856,5.8032,3.5032,2.3304,1.7392,1.3782,1.1301,0.94681,0.80491,0.69138,0.59832,0.52058,0.45469,0.39817,0.3492,0.30643,0.26881,0.23551,0.20589,0.17943,0.15568,0.13431,0.115,0.097519,0.081649,0.06721,0.054047,0.042025,0.031027,0.020953,0.011711,0.0032222,-0.0045825,-0.011766,-0.018384,-0.024485,-0.030115,-0.035314,-0.040117,-0.044557,-0.048665,-0.052467,-0.055986,-0.059247,-0.062268,-0.065068,-0.067665,-0.070073,-0.072308,-0.074382,-0.076307,-0.078094,-0.079754,-0.081295,-0.082727,-0.084058,-0.085294,-0.086443,-0.087511,-0.088504,-0.089426,-0.090284,-0.091082,-0.091824,-0.092514,-0.093155,-0.093752,-0.094307,-0.094823,-0.095304,-0.09575,-0.096166,-0.096552,-0.096912,-0.097247,-0.097558,-0.097848,-0.098117,-0.098368,-0.098601,-0.098818,-0.09902,-0.099208,-0.099383,-0.099546,-0.099697,-0.099838,-0.099969,-0.10009,-0.1002,-0.10031,-0.10041,-0.1005,-0.10059,-0.10066,-0.10074,-0.10081,-0.10087,-0.10093,-0.10098,-0.10104,-0.10108,-0.10113,-0.10117,-0.10121,-0.10124,-0.10128,-0.10131,-0.10134,-0.10136,-0.10139,-0.10141,-0.10143,-0.10145,-0.10147,-0.10149,-0.10151,-0.10152,-0.10154,-0.10155,-0.10156,-0.10157,-0.10158,-0.10159,-0.1016,-0.10161,-0.10162,-0.10163
0,-0.067424,-0.12801,-0.18656,-0.24706,-0.30961,-0.36779,-0.42915,-0.488,-0.54916,-0.60961,-0.67122,-0.73395,-0.79744,-0.8616,-0.92688,-0.99324,-1.0606,-1.1291,-1.1985,-1.2689,-1.3403,-1.4127,-1.486,-1.5603,-1.6354,-1.7115,-1.7884,-1.8662,-1.945,-2.0246,-2.1051,-2.1866,-2.269,-2.3524,-2.4369,-2.5224,-2.6091,-2.697,-2.7862,-2.877,-2.9693,-3.0635,-3.1597,-3.2582,-3.3594,-3.4635,-3.6904,-3.8932,-4.0681,-4.2286,-4.3828,-4.5361,-4.6922,-4.8543,-5.025,-5.2066,-5.4016,-5.6123,-5.8411,-6.0904,-6.3626,-6.6602,-6.9852,-7.3397,-7.7251,-8.1423,-8.5913,-9.0713,-9.581,-10.119,-10.689,-11.321,-12.461,-14.18,-15.26,-15.07,-14.159,-12.883,-11.362,-9.6301,-7.3468,-4.7259,-2.7855,-1.8579,-1.3839,-1.0961,-0.90144,-0.76055,-0.65376,-0.57009,-0.50286,-0.44778,-0.40194,-0.3633,-0.33038,-0.30207,-0.27755,-0.25616,-0.23741,-0.22087,-0.20623,-0.19322,-0.18162,-0.17123,-0.16192,-0.15354,-0.14599,-0.13918,-0.13301,-0.12742,-0.12234,-0.11773,-0.11354,-0.10972,-0.10623,-0.10305,-0.10015,-0.097489,-0.095059,-0.092835,-0.090797,-0.08893,-0.087218,-0.085647,-0.084206,-0.082882,-0.081667,-0.08055,-0.079524,-0.078581,-0.077714,-0.076916,-0.076183,-0.075508,-0.074887,-0.074315,-0.073789,-0.073305,-0.072859,-0.072449,-0.072071,-0.071723,-0.071402,-0.071107,-0.070835,-0.070585,-0.070354,-0.070142,-0.069946,-0.069766,-0.069599,-0.069446,-0.069305,-0.069176,-0.069056,-0.068946,-0.068844,-0.068751,-0.068664,-0.068585,-0.068512,-0.068444,-0.068382,-0.068325,-0.068273,-0.068224,-0.068179,-0.068138,-0.0681,-0.068065,-0.068033,-0.068004,-0.067976,-0.067951,-0.067928,-0.067907,-0.067887,-0.067869,-0.067853,-0.067838,-0.067824,-0.067811,-0.067799,-0.067788,-0.067778,-0.067768,-0.06776,-0.067752,-0.067745,-0.067738,-0.067732,-0.067726,-0.067721,-0.067717,-0.067712,-0.067708,-0.067704,-0.067701,-0.067698,-0.067695
0,-0.4113,-0.80961,-1.2063,-1.6052,-2.0076,-2.4108,-2.8205,-3.233,-3.6506,-4.0709,-4.4948,-4.9216,-5.3508,-5.7818,-6.2146,-6.6489,-7.0844,-7.5208,-7.9579,-8.3954,-8.8333,-9.2714,-9.7096,-10.264,-10.77,-11.24,-11.693,-12.139,-12.58,-13.019,-13.456,-13.893,-14.329,-14.765,-15.201,-15.636,-16.071,-16.505,-16.939,-17.372,-17.806,-18.238,-18.67,-19.102,-19.533,-19.963,-20.392,-20.821,-21.249,-21.676,-22.101,-22.525,-22.948,-23.369,-23.788,-24.204,-24.618,-25.028,-25.435,-25.839,-26.238,-26.632,-27.021,-27.405,-27.782,-28.154,-28.519,-28.876,-29.226,-29.569,-29.91,-30.279,-31.108,-32.548,-33.36,-32.908,-31.745,-30.233,-28.499,-26.601,-24.573,-22.438,-20.216,-17.911,-15.539,-13.106,-10.582,-7.8798,-5.245,-3.2855,-2.2984,-1.7696,-1.4355,-1.2013,-1.0262,-0.88949,-0.77932,-0.68847,-0.6122,-0.54724,-0.49126,-0.44254,-0.3998,-0.36203,-0.32846,-0.29846,-0.27154,-0.24726,-0.22531,-0.20539,-0.18726,-0.17071,-0.15558,-0.14172,-0.12899,-0.11729,-0.1065,-0.096554,-0.087366,-0.078869,-0.071004,-0.063715,-0.056954,-0.050678,-0.044848,-0.039428,-0.034385,-0.029691,-0.02532,-0.021246,-0.017449,-0.013907,-0.010602,-0.0075168,-0.0046364,-0.0019461,0.00056755,0.0029166,0.0051125,0.0071657,0.0090859,0.010882,0.012562,0.014135,0.015606,0.016983,0.018273,0.01948,0.02061,0.021669,0.02266,0.023588,0.024458,0.025272,0.026036,0.026751,0.027421,0.028048,0.028636,0.029188,0.029704,0.030188,0.030642,0.031067,0.031465,0.031839,0.032189,0.032517,0.032824,0.033112,0.033383,0.033636,0.033873,0.034096,0.034304,0.0345,0.034683,0.034855,0.035016,0.035166,0.035308,0.035441,0.035565,0.035681,0.035791,0.035893,0.035989,0.036079,0.036163,0.036242,0.036316,0.036386,0.036451,0.036512,0.036569,0.036622,0.036673,0.03672,0.036764,0.036805
