1e+06,112,2.7877e+06,7291.4,1.6938e+06,1.081e+06,5605,45.191
1.1e+06,133,1.1677e+07,8177.1,5.2888e+06,6.3727e+06,7382.2,12.984
1.2e+06,29,1.1058e+07,8752.4,6.839e+06,4.2023e+06,6678.4,1000
1.3e+06,26,1.3633e+07,9123.4,6.0667e+06,7.5505e+06,6640.1,160.91
1.4e+06,132,9.3206e+06,9572.7,5.1789e+06,4.1238e+06,8302.5,17.066
1.5e+06,122,1.3397e+07,10518,6.1697e+06,7.206e+06,9953.6,1000
1.6e+06,134,1.5256e+07,11796,9.4131e+06,5.8217e+06,9284.1,16.068
1.7e+06,128,6.5457e+06,12680,2.0598e+06,4.4642e+06,9059.5,33.748
1.8e+06,129,1.3454e+07,12689,5.5145e+06,7.9155e+06,10103,1000
1.9e+06,127,1.1712e+07,14163,4.0756e+06,7.6085e+06,12544,1000
2e+06,32,2.3328e+07,14955,1.176e+07,1.154e+07,12435,191.48
2.1e+06,135,1.728e+07,14028,1.2108e+07,5.1412e+06,15275,1000
2.2e+06,132,1.6684e+07,14727,7.2715e+06,9.3822e+06,15250,25.033
2.3e+06,26,2.4122e+07,16820,1.3548e+07,1.0541e+07,16486,154.93
2.4e+06,138,1.7816e+07,16656,4.0892e+06,1.3697e+07,12903,13.945
2.5e+06,135,1.2503e+07,16896,4.3314e+06,8.1369e+06,17189,1000
2.6e+06,134,1.7046e+07,18567,6.7817e+06,1.023e+07,15793,24.43
2.7e+06,126,1.6685e+07,19530,1.4579e+07,2.069e+06,17127,47.333
2.8e+06,134,7.0065e+06,18458,1.6469e+06,5.3254e+06,15689,24.248
2.9e+06,90,1.3559e+07,19243,4.7113e+06,8.8093e+06,18913,159.98
3e+06,135,1.4144e+07,20126,2.6106e+06,1.1494e+07,18069,1000
3.1e+06,130,2.2954e+07,21058,1.6498e+07,6.4138e+06,20755,42.024
3.2e+06,93,2.88e+07,21454,1.3857e+07,1.4896e+07,23847,1000
3.3e+06,132,1.6734e+07,21545,7.9685e+06,8.7276e+06,16797,34.721
3.4e+06,135,3.5509e+07,24664,1.8331e+07,1.7131e+07,21255,1000
3.5e+06,141,3.5305e+07,23561,1.4797e+07,2.046e+07,24566,13.337
3.6e+06,144,4.0351e+07,25810,1.9766e+07,2.0539e+07,20434,10.102
3.7e+06,127,3.3335e+07,24602,1.2996e+07,2.0296e+07,18711,64.213
3.8e+06,141,1.8927e+07,26697,9.5969e+06,9.2836e+06,19815,14.431
3.9e+06,134,3.278e+07,25957,2.0077e+07,1.2651e+07,24107,1000
4e+06,131,1.4422e+07,28995,1.1566e+07,2.797e+06,29737,1000
4.1e+06,128,1.449e+07,28722,5.8266e+06,8.6063e+06,27876,1000
4.2e+06,136,9.5247e+06,28403,4.8199e+06,4.6536e+06,21784,1000
4.3e+06,137,2.6847e+07,28607,7.3862e+06,1.9405e+07,27270,24.462
4.4e+06,134,4.5614e+07,29789,2.1915e+07,2.3646e+07,22600,1000
4.5e+06,135,3.1049e+07,30147,1.9152e+07,1.1836e+07,31021,31.764
4.6e+06,136,2.4621e+07,31682,3.268e+06,2.1294e+07,27079,29.962
4.7e+06,107,2.9181e+07,33248,1.77e+07,1.1421e+07,25561,1000
4.8e+06,133,2.5266e+07,35842,8.6896e+06,1.6513e+07,27373,1000
4.9e+06,143,2.3282e+07,33016,1.0503e+07,1.2715e+07,30948,13.643
5e+06,135,3.1032e+07,32562,2.3126e+07,7.8444e+06,28322,34.336
5.1e+06,141,1.8319e+07,36172,1.1527e+07,6.7268e+06,29700,18.56
5.2e+06,133,4.0776e+07,35870,1.7491e+07,2.3216e+07,32166,1000
5.3e+06,144,1.4023e+07,37061,4.2038e+06,9.7528e+06,29643,13.201
5.4e+06,136,5.3686e+07,36638,2.4176e+07,2.9441e+07,32579,33.022
5.5e+06,139,2.6192e+07,40984,1.9368e+07,6.7513e+06,31882,25.586
5.6e+06,137,3.3619e+07,41720,1.9709e+07,1.3835e+07,31204,1000
5.7e+06,142,3.2889e+07,40327,9.0952e+06,2.372e+07,33660,17.781
5.8e+06,137,3.6948e+07,38243,4.5622e+06,3.2307e+07,38947,1000
5.9e+06,132,5.7642e+07,43189,2.7929e+07,2.963e+07,38685,1000
6e+06,140,4.6535e+07,43024,1.2426e+07,3.4025e+07,40896,23.462
