0,1e+07,4000,1e+06
0.1,9.8216e+06,4023.2,9.7453e+05
0.2,9.6464e+06,4045.9,9.4956e+05
0.3,9.4742e+06,4068.1,9.251e+05
0.4,9.3052e+06,4089.8,9.0113e+05
0.5,9.1392e+06,4111.2,8.7764e+05
0.6,8.9761e+06,4132,8.5461e+05
0.7,8.816e+06,4152.5,8.3205e+05
0.8,8.6587e+06,4172.5,8.0994e+05
0.9,8.5042e+06,4192.1,7.8827e+05
1,8.3525e+06,4211.3,7.6703e+05
1.1,8.2035e+06,4230,7.4622e+05
1.2,8.0571e+06,4248.4,7.2583e+05
1.3,7.9134e+06,4266.4,7.0585e+05
1.4,7.7722e+06,4284,6.8627e+05
1.5,7.6335e+06,4301.3,6.6709e+05
1.6,7.4973e+06,4318.2,6.483e+05
1.7,7.3635e+06,4334.7,6.2989e+05
1.8,7.2322e+06,4350.8,6.1186e+05
1.9,7.1031e+06,4366.6,5.9421e+05
2,6.9764e+06,4382.1,5.7691e+05
2.1,6.8519e+06,4397.2,5.5998e+05
2.2,6.7297e+06,4412,5.4341e+05
2.3,6.6096e+06,4426.5,5.2718e+05
2.4,6.4917e+06,4440.6,5.113e+05
2.5,6.3759e+06,4454.5,4.9577e+05
2.6,6.2621e+06,4468,4.8057e+05
2.7,6.1504e+06,4481.2,4.6571e+05
2.8,6.0407e+06,4494.2,4.512e+05
2.9,5.9329e+06,4506.8,4.3702e+05
3,5.827e+06,4519.2,4.2316e+05
3.1,5.7231e+06,4531.2,4.096e+05
3.2,5.621e+06,4543,3.9635e+05
3.3,5.5207e+06,4554.6,3.8341e+05
3.4,5.4222e+06,4565.8,3.7078e+05
3.5,5.3254e+06,4576.8,3.5844e+05
3.6,5.2304e+06,4587.6,3.464e+05
3.7,5.1371e+06,4598.1,3.3465e+05
3.8,5.0454e+06,4608.3,3.2319e+05
3.9,4.9554e+06,4618.3,3.1202e+05
4,4.867e+06,4628.1,3.0113e+05
4.1,4.7802e+06,4637.6,2.9052e+05
4.2,4.6949e+06,4646.9,2.8019e+05
4.3,4.6111e+06,4656,2.7013e+05
4.4,4.5289e+06,4664.9,2.6035e+05
4.5,4.4481e+06,4673.5,2.5083e+05
4.6,4.3687e+06,4681.9,2.4157e+05
4.7,4.2908e+06,4690.1,2.3258e+05
4.8,4.2142e+06,4698.1,2.2384e+05
4.9,4.139e+06,4706,2.1535e+05
5,4.0652e+06,4713.6,2.0711e+05
5.1,3.9926e+06,4721,1.9912e+05
5.2,3.9214e+06,4728.2,1.9137e+05
5.3,3.8514e+06,4735.2,1.8387e+05
5.4,3.7827e+06,4742.1,1.7659e+05
5.5,3.7152e+06,4748.7,1.6955e+05
5.6,3.649e+06,4755.2,1.6273e+05
5.7,3.5838e+06,4761.5,1.5612e+05
5.8,3.5199e+06,4767.7,1.4974e+05
5.9,3.4571e+06,4773.6,1.4357e+05
6,3.3954e+06,4779.4,1.376e+05
6.1,3.3348e+06,4785.1,1.3184e+05
6.2,3.2753e+06,4790.6,1.2628e+05
6.3,3.2169e+06,4795.9,1.2092e+05
6.4,3.1595e+06,4801.1,1.1574e+05
6.5,3.1031e+06,4806.1,1.1075e+05
6.6,3.0478e+06,4811,1.0594e+05
6.7,2.9934e+06,4815.7,1.0131e+05
6.8,2.94e+06,4820.3,96857
6.9,2.8875e+06,4824.7,92567
7,2.836e+06,4829,88442
7.1,2.7854e+06,4833.2,84475
7.2,2.7357e+06,4837.2,80663
7.3,2.6869e+06,4841.1,77002
7.4,2.639e+06,4844.9,73486
7.5,2.5919e+06,4848.5,70112
7.6,2.5457e+06,4852.1,66874
7.7,2.5002e+06,4855.5,63770
7.8,2.4556e+06,4858.8,60795
7.9,2.4118e+06,4861.9,57944
8,2.3688e+06,4865,55213
8.1,2.3265e+06,4867.9,52598
8.2,2.285e+06,4870.8,50095
8.3,2.2442e+06,4873.5,47700
8.4,2.2042e+06,4876.1,45410
8.5,2.1649e+06,4878.6,43220
8.6,2.1263e+06,4881,41127
8.7,2.0883e+06,4883.3,39127
8.8,2.0511e+06,4885.5,37217
8.9,2.0145e+06,4887.6,35394
9,1.9785e+06,4889.7,33653
9.1,1.9432e+06,4891.6,31992
9.2,1.9086e+06,4893.4,30407
9.3,1.8745e+06,4895.1,28896
9.4,1.8411e+06,4896.8,27455
9.5,1.8082e+06,4898.4,26082
9.6,1.776e+06,4899.8,24774
9.7,1.7443e+06,4901.2,23528
9.8,1.7131e+06,4902.5,22341
9.9,1.6826e+06,4903.8,21211
10,1.6526e+06,4904.9,20135
10.1,1.6231e+06,4906,19111
10.2,1.5941e+06,4907,18137
10.3,1.5657e+06,4907.9,17210
10.4,1.5377e+06,4908.7,16329
10.5,1.5103e+06,4909.5,15491
10.6,1.4834e+06,4910.2,14695
10.7,1.4569e+06,4910.8,13938
10.8,1.4309e+06,4911.4,13218
10.9,1.4054e+06,4911.9,12535
11,1.3803e+06,4912.3,11885
11.1,1.3557e+06,4912.7,11269
11.2,1.3315e+06,4913,10683
11.3,1.3077e+06,4913.2,10127
11.4,1.2844e+06,4913.4,9599.1
11.5,1.2615e+06,4913.5,9098
11.6,1.239e+06,4913.6,8622.5
11.7,1.2169e+06,4913.6,8171.2
11.8,1.1952e+06,4913.5,7743.1
11.9,1.1738e+06,4913.4,7336.9
12,1.1529e+06,4913.2,6951.6
12.1,1.1323e+06,4913,6586.2
12.2,1.1121e+06,4912.7,6239.6
12.3,1.0923e+06,4912.4,5911
12.4,1.0728e+06,4912,5599.5
12.5,1.0536e+06,4911.6,5304.1
12.6,1.0349e+06,4911.1,5024.1
12.7,1.0164e+06,4910.6,4758.7
12.8,9.9825e+05,4910,4507.1
12.9,9.8044e+05,4909.4,4268.7
13,9.6295e+05,4908.7,4042.8
13.1,9.4577e+05,4908,3828.7
13.2,9.289e+05,4907.3,3625.9
13.3,9.1232e+05,4906.5,3433.7
13.4,8.9605e+05,4905.7,3251.6
13.5,8.8006e+05,4904.8,3079.2
13.6,8.6436e+05,4903.9,2915.8
13.7,8.4894e+05,4902.9,2761.1
13.8,8.3379e+05,4901.9,2614.5
13.9,8.1891e+05,4900.9,2475.7
14,8.043e+05,4899.8,2344.2
14.1,7.8995e+05,4898.7,2219.7
14.2,7.7586e+05,4897.5,2101.9
14.3,7.6202e+05,4896.3,1990.2
14.4,7.4842e+05,4895.1,1884.5
14.5,7.3507e+05,4893.9,1784.4
14.6,7.2195e+05,4892.6,1689.6
14.7,7.0907e+05,4891.3,1599.9
14.8,6.9642e+05,4889.9,1515
14.9,6.84e+05,4888.5,1434.5
15,6.7179e+05,4887.1,1358.4
15.1,6.5981e+05,4885.7,1286.3
15.2,6.4804e+05,4884.2,1218
15.3,6.3647e+05,4882.7,1153.4
15.4,6.2512e+05,4881.2,1092.3
15.5,6.1396e+05,4879.6,1034.4
15.6,6.0301e+05,4878,979.54
15.7,5.9225e+05,4876.4,927.64
15.8,5.8169e+05,4874.8,878.52
15.9,5.7131e+05,4873.1,832.02
16,5.6111e+05,4871.4,788
16.1,5.511e+05,4869.7,746.33
16.2,5.4127e+05,4867.9,706.89
16.3,5.3161e+05,4866.2,669.55
16.4,5.2213e+05,4864.4,634.2
16.5,5.1281e+05,4862.6,600.74
16.6,5.0366e+05,4860.7,569.06
16.7,4.9468e+05,4858.9,539.07
16.8,4.8585e+05,4857,510.68
16.9,4.7718e+05,4855.1,483.81
17,4.6867e+05,4853.1,458.37
17.1,4.6031e+05,4851.2,434.28
17.2,4.521e+05,4849.2,411.48
17.3,4.4403e+05,4847.2,389.89
17.4,4.3611e+05,4845.2,369.45
17.5,4.2833e+05,4843.2,350.1
17.6,4.2068e+05,4841.2,331.78
17.7,4.1318e+05,4839.1,314.44
17.8,4.0581e+05,4837,298.01
17.9,3.9857e+05,4834.9,282.46
18,3.9146e+05,4832.8,267.74
18.1,3.8447e+05,4830.7,253.79
18.2,3.7761e+05,4828.5,240.59
18.3,3.7087e+05,4826.4,228.09
18.4,3.6426e+05,4824.2,216.25
18.5,3.5776e+05,4822,205.03
18.6,3.5138e+05,4819.8,194.41
18.7,3.4511e+05,4817.6,184.36
18.8,3.3895e+05,4815.3,174.83
18.9,3.329e+05,4813.1,165.81
19,3.2696e+05,4810.8,157.26
19.1,3.2113e+05,4808.5,149.17
19.2,3.154e+05,4806.2,141.5
19.3,3.0977e+05,4803.9,134.24
19.4,3.0425e+05,4801.6,127.36
19.5,2.9882e+05,4799.2,120.84
19.6,2.9349e+05,4796.9,114.66
19.7,2.8825e+05,4794.5,108.81
