12.7,1.5246e+06,2761.9,1454.3
12.8,1.4974e+06,2764,1374.3
12.9,1.4707e+06,2766.1,1298.6
13,1.4444e+06,2768.1,1227.2
13.1,1.4187e+06,2770,1159.7
13.2,1.3933e+06,2771.8,1095.8
13.3,1.3685e+06,2773.6,1035.5
13.4,1.3441e+06,2775.3,978.56
13.5,1.3201e+06,2777,924.71
13.6,1.2965e+06,2778.6,873.83
13.7,1.2734e+06,2780.1,825.75
13.8,1.2507e+06,2781.6,780.32
13.9,1.2284e+06,2783,737.39
14,1.2065e+06,2784.4,696.83
14.1,1.1849e+06,2785.7,658.5
14.2,1.1638e+06,2786.9,622.28
14.3,1.143e+06,2788.1,588.06
14.4,1.1226e+06,2789.2,555.72
14.5,1.1026e+06,2790.3,525.17
14.6,1.0829e+06,2791.4,496.29
14.7,1.0636e+06,2792.3,469.01
14.8,1.0446e+06,2793.3,443.24
14.9,1.026e+06,2794.1,418.88
15,1.0077e+06,2795,395.87
15.1,9.8971e+05,2795.7,374.12
15.2,9.7205e+05,2796.5,353.57
15.3,9.5471e+05,2797.2,334.16
15.4,9.3768e+05,2797.8,315.81
15.5,9.2095e+05,2798.4,298.47
15.6,9.0452e+05,2799,282.09
15.7,8.8838e+05,2799.5,266.62
15.8,8.7253e+05,2799.9,251.99
15.9,8.5696e+05,2800.4,238.17
16,8.4167e+05,2800.8,225.11
16.1,8.2665e+05,2801.1,212.77
16.2,8.1191e+05,2801.4,201.11
16.3,7.9742e+05,2801.7,190.09
16.4,7.8319e+05,2801.9,179.68
16.5,7.6922e+05,2802.1,169.84
16.6,7.555e+05,2802.3,160.55
16.7,7.4202e+05,2802.4,151.76
16.8,7.2878e+05,2802.5,143.46
16.9,7.1578e+05,2802.5,135.61
17,7.03e+05,2802.6,128.2
17.1,6.9046e+05,2802.6,121.19
17.2,6.7814e+05,2802.5,114.57
17.3,6.6604e+05,2802.4,108.31
17.4,6.5416e+05,2802.3,102.4
17.5,6.4249e+05,2802.2,96.812
17.6,6.3103e+05,2802,91.53
17.7,6.1977e+05,2801.8,86.539
17.8,6.0871e+05,2801.6,81.821
17.9,5.9785e+05,2801.4,77.363
18,5.8718e+05,2801.1,73.149
18.1,5.7671e+05,2800.8,69.166
18.2,5.6642e+05,2800.4,65.402
18.3,5.5631e+05,2800.1,61.844
18.4,5.4639e+05,2799.7,58.482
18.5,5.3664e+05,2799.3,55.303
18.6,5.2706e+05,2798.9,52.299
18.7,5.1766e+05,2798.4,49.459
18.8,5.0842e+05,2797.9,46.775
18.9,4.9935e+05,2797.4,44.238
19,4.9044e+05,2796.9,41.839
19.1,4.8169e+05,2796.3,39.572
19.2,4.731e+05,2795.7,37.429
19.3,4.6466e+05,2795.1,35.403
19.4,4.5637e+05,2794.5,33.487
19.5,4.4823e+05,2793.9,31.677
19.6,4.4023e+05,2793.2,29.965
19.7,4.3238e+05,2792.5,28.347
19.8,4.2466e+05,2791.8,26.817
19.9,4.1708e+05,2791.1,25.37
20,4.0964e+05,2790.4,24.002
20.1,4.0233e+05,2789.6,22.709
