75 0.00015873 2307.1 38.171 102.97 0.55829 2.1391e+09 12.361
76 0.00012996 2148.4 34.444 102.64 0.52577 2.1399e+09 11.996
77 0.0001064 2000.7 31.084 102.32 0.49516 2.1406e+09 11.642
78 8.7114e-05 1863.3 28.056 101.99 0.46632 2.1413e+09 11.298
79 7.1323e-05 1735.3 25.326 101.66 0.43916 2.1419e+09 10.964
80 5.8395e-05 1616.2 22.864 101.34 0.41359 2.1425e+09 10.64
81 4.781e-05 1505.3 20.643 101.02 0.3895 2.143e+09 10.326
82 3.9143e-05 1402 18.64 100.7 0.36682 2.1435e+09 10.021
83 3.2048e-05 1305.9 16.832 100.39 0.34546 2.144e+09 9.7245
84 2.6239e-05 1216.4 15.202 100.07 0.32534 2.1444e+09 9.4371
85 2.1483e-05 1133.1 13.73 99.759 0.30639 2.1448e+09 9.1583
86 1.7588e-05 1055.5 12.402 99.447 0.28855 2.1452e+09 8.8877
87 1.44e-05 983.26 11.203 99.138 0.27175 2.1455e+09 8.6251
88 1.179e-05 915.98 10.12 98.83 0.25592 2.1458e+09 8.3702
89 9.6528e-06 853.32 9.1433 98.524 0.24102 2.1461e+09 8.1229
90 7.9031e-06 794.97 8.2611 98.22 0.22698 2.1464e+09 7.8828
91 6.4705e-06 740.63 7.4644 97.918 0.21376 2.1466e+09 7.6499
92 5.2976e-06 690.02 6.7449 97.617 0.20132 2.1469e+09 7.4238
93 4.3374e-06 642.88 6.0951 97.319 0.18959 2.1471e+09 7.2045
94 3.5511e-06 598.98 5.5082 97.021 0.17855 2.1473e+09 6.9916
95 2.9074e-06 558.09 4.9781 96.726 0.16815 2.1475e+09 6.7849
96 2.3804e-06 520 4.4992 96.432 0.15836 2.1477e+09 6.5844
97 1.9489e-06 484.52 4.0665 96.141 0.14914 2.1478e+09 6.3899
98 1.5956e-06 451.46 3.6756 95.85 0.14045 2.148e+09 6.201
99 1.3064e-06 420.68 3.3225 95.562 0.13227 2.1481e+09 6.0178
100 1.0696e-06 392 3.0033 95.275 0.12457 2.1483e+09 5.8399
101 8.7572e-07 365.28 2.715 94.99 0.11732 2.1484e+09 5.6674
102 7.1698e-07 340.38 2.4544 94.706 0.11048 2.1485e+09 5.4999
103 5.8702e-07 317.19 2.2189 94.425 0.10405 2.1486e+09 5.3373
104 4.8061e-07 295.59 2.0061 94.144 0.097991 2.1487e+09 5.1796
105 3.9349e-07 275.46 1.8137 93.866 0.092284 2.1488e+09 5.0265
